856E428E	Large pages and lightweight memory management in virtualized environments: can you have it both ways?	large pages and lightweight memory management in virtualized environments can you have it both ways	2015	2015/12/05	10.1145/2830772.2830773	international symposium on microarchitecture	micro		4499A295	19555
76CC4919	Leveraging Heterogeneity in DRAM Main Memories to Accelerate Critical Word Access	leveraging heterogeneity in dram main memories to accelerate critical word access	2012	2012/12/01	10.1109/MICRO.2012.11	international symposium on microarchitecture	micro		4499A295	17568
85FC10FA	Token flow control	token flow control	2008	2008/11	10.1109/MICRO.2008.4771803	international symposium on microarchitecture	micro		4499A295	19555
85A4A67A	EVAL: Utilizing processors with variation-induced timing errors	eval utilizing processors with variation induced timing errors	2008	2008/11	10.1109/MICRO.2008.4771810	international symposium on microarchitecture	micro		4499A295	19555
85C236E1	Proceedings of the 42nd Annual IEEE/ACM International Symposium on Microarchitecture	proceedings of the 42nd annual ieee acm international symposium on microarchitecture	2009	2009/12/12		international symposium on microarchitecture	micro		4499A295	19555
76807D5D	Arbitrary Modulus Indexing	arbitrary modulus indexing	2014	2014/12/13	10.1109/MICRO.2014.13	international symposium on microarchitecture	micro		4499A295	19400
8107BBFB	Kernel Partitioning of Streaming Applications: A Statistical Approach to an NP-complete Problem	kernel partitioning of streaming applications a statistical approach to an np complete problem	2012	2012/12/01	10.1109/MICRO.2012.44	international symposium on microarchitecture	micro		4499A295	19329
7B4FFB2A	Low-cost branch folding for embedded applications with small tight loops	low cost branch folding for embedded applications with small tight loops	1999	1999/11/16	10.1109/MICRO.1999.809448	international symposium on microarchitecture	micro		4499A295	19102
856ED4B2	Improving DRAM latency with dynamic asymmetric subarray	improving dram latency with dynamic asymmetric subarray	2015	2015/12/05	10.1145/2830772.2830827	international symposium on microarchitecture	micro		4499A295	19555
7629FD48	Enabling Realistic Fine-Grain Voltage Scaling with Reconfigurable Power Distribution Networks	enabling realistic fine grain voltage scaling with reconfigurable power distribution networks	2014	2014/12/13	10.1109/MICRO.2014.52	international symposium on microarchitecture	micro		4499A295	19511
85FB9AFB	Optimizing NUCA Organizations and Wiring Alternatives for Large Caches with CACTI 6.0	optimizing nuca organizations and wiring alternatives for large caches with cacti 6 0	2007	2007		international symposium on microarchitecture	micro		4499A295	19555
7CAA933B	PORPLE: An Extensible Optimizer for Portable Data Placement on GPU	porple an extensible optimizer for portable data placement on gpu	2014	2014/12/13	10.1109/MICRO.2014.20	international symposium on microarchitecture	micro		4499A295	19498
83DFE4E6	Evaluation of a high performance code compression method	evaluation of a high performance code compression method	1999	1999/11/16	10.1109/MICRO.1999.809447	international symposium on microarchitecture	micro		4499A295	19505
80BD9524	Thread Cluster Memory Scheduling: Exploiting Differences in Memory Access Behavior	thread cluster memory scheduling exploiting differences in memory access behavior	2010	2010/12/04	10.1109/MICRO.2010.51	international symposium on microarchitecture	micro		4499A295	18051
7B8C09E1	PHAP: Password based Hardware Authentication using PUFs	phap password based hardware authentication using pufs	2012	2012/12		international symposium on microarchitecture	micro		4499A295	19555
802AD28C	AtomTracker: A Comprehensive Approach to Atomic Region Inference and Violation Detection	atomtracker a comprehensive approach to atomic region inference and violation detection	2010	2010/12/04	10.1109/MICRO.2010.32	international symposium on microarchitecture	micro		4499A295	19035
7EDBBF63	A Predictive Model for Dynamic Microarchitectural Adaptivity Control	a predictive model for dynamic microarchitectural adaptivity control	2010	2010/12/04	10.1109/MICRO.2010.14	international symposium on microarchitecture	micro		4499A295	19190
7DD933A2	ReMAP: A Reconfigurable Heterogeneous Multicore Architecture	remap a reconfigurable heterogeneous multicore architecture	2010	2010/12/04	10.1109/MICRO.2010.15	international symposium on microarchitecture	micro		4499A295	19162
857163E9	Exploiting commutativity to reduce the cost of updates to shared data in cache-coherent systems	exploiting commutativity to reduce the cost of updates to shared data in cache coherent systems	2015	2015/12/05	10.1145/2830772.2830774	international symposium on microarchitecture	micro		4499A295	19555
7D6E4604	Efficient Selection of Vector Instructions Using Dynamic Programming	efficient selection of vector instructions using dynamic programming	2010	2010/12/04	10.1109/MICRO.2010.38	international symposium on microarchitecture	micro		4499A295	19183
